id,name,desc,resource,tire,resourcePerSecond,cost
energy,Charcoal Engine,"Burns Charcoal to produce a steady source of Energy.",energy,1,"{""energy"": 2, ""charcoal"": -1}","{""metal"": 50, ""gem"": 25}"
energy,Solar Panel,"Gains Energy slowly from the sun without using any resources.",energy,2,"{""energy"": 1.5}","{""metal"": 30, ""gem"": 35}"
energy,Methane Power Station,"Burn powerful methane from Venus to satisfy all your power needs.",energy,3,"{""energy"": 23, ""methane"": -6}","{""lunarite"": 110, ""titanium"": 90}"
energy,Nuclear Power Station,"Uses fission to create large amounts of power.",energy,4,"{""energy"": 153, ""uranium"": -7}","{""lunarite"": 20000, ""titanium"": 10000}"
energy,Magmatic Dynamo,"The Magmatic Dynamo is a method of producing power by using lava as a fuel. Because of the extreme temperature of lava, a lot of Energy can be produced at once.",energy,5,"{""energy"": 191, ""lava"": -11}","{""lunarite"": 25000, ""gem"": 30000, ""silver"": 20000}"
energy,Fusion Reactor,"In a fusion reaction, Energy is released when two light atomic nuclei are fused together to form one heavier atom. This is the same reaction that occurs in stars and produces a lot of power.",energy,6,"{""energy"": 273, ""hydrogen"": -10, ""helium"": -10}","{""lunarite"": 30000, ""titanium"": 20000, ""silicon"": 15000}"
plasma,Super-Heater,"The Super-Heater throws electricity at Hydrogen to turn it into a plasmatic substance.",plasma,1,"{""energy"": -1000, ""hydrogen"": -10, ""plasma"": 1}","{""lunarite"": 75000, ""gem"": 68000, ""silicon"": 59000}"
plasma,Plasmatic Pit,"This contraption converts Helium into Plasma through firing intensive energy bolts at the gas cloud.",plasma,2,"{""energy"": -8500, ""helium"": -80, ""plasma"": 10}","{""lunarite"": 810000, ""silicon"": 720000, ""meteorite"": 970}"
plasma,Electron Bath,"Bathing in Electrons. What could go wrong?",plasma,3,"{""energy"": -15000, ""helium"": -100, ""hydrogen"": -100, ""plasma"": 140}","{""lunarite"": 6200000, ""silicon"": 5900000, ""meteorite"": 12100}"
uranium,Grinder,"Pulverizes Uranium for easy transportation out of deep mineshafts.",uranium,1,"{""uranium"": 1}","{""lunarite"": 4000, ""titanium"": 2000, ""gold"": 2000}"
uranium,Cubic Teleposer,"This teleposes blocks of rock from far underground to the surface so that Uranium can be mined more easily.",uranium,2,"{""energy"": -40, ""uranium"": 9}","{""lunarite"": 10000, ""uranium"": 80, ""oil"": 10000}"
uranium,Uranium Enricher,"The Enricher increases the quality of uranium mined and thus allows more of the uranium in rocks to be used in your company.",uranium,3,"{""energy"": -180, ""uranium"": 61}","{""lunarite"": 21700, ""titanium"": 23000, ""silicon"": 13500}"
uranium,Yellowcake Recycler,"Recycles used-up Uranium to provide the resources with a second use. This greatly increases the amount of Uranium you can use per second.",uranium,4,"{""energy"": -436, ""uranium"": 235}","{""lunarite"": 93100, ""methane"": 47000, ""meteorite"": 830}"
lava,Heat Resistant Crucible,"You can use a modified crucible to pick up lava and to store it for later use.",lava,1,"{""lava"": 1}","{""lunarite"": 4000, ""gem"": 7000}"
lava,Lava Extractor,"This extracts lava from volcanoes automatically and quickly.",lava,2,"{""energy"": -58, ""lava"": 7}","{""lunarite"": 16000, ""titanium"": 14000, ""silicon"": 6000}"
lava,Igneous Extruder,"Instead of going out and finding lava, it can be more convenient to make it yourself with heat and pressure.",lava,3,"{""energy"": -237, ""lava"": 43}","{""lunarite"": 69000, ""titanium"": 57000, ""silicon"": 39000}"
lava,Volcanic Veluptuator,"A melting pot of misery, pouring lava out from mined rock.",lava,4,"{""energy"": -689, ""lava"": 187}","{""lunarite"": 298000, ""gold"": 121000, ""meteorite"": 750}"
oil,Small Pump,"Build a small pump to extract Oil from the ground.",oil,1,"{""oil"": 1}","{""metal"": 60, ""gem"": 20}"
oil,Pumpjack,"Pumpjacks are much bigger than small pumps and produce Oil on an industrial scale but they require a lot of Energy.",oil,2,"{""energy"": -4, ""oil"": 10}","{""metal"": 250, ""gem"": 80, ""oil"": 50}"
oil,Oil Field,"Oil Fields are large open spaces, usually found in deserts where vast oil wells can be found under the ground.",oil,3,"{""energy"": -12, ""oil"": 63}","{""lunarite"": 2400, ""titanium"": 2700, ""silicon"": 3900}"
oil,Offshore Rig,"Offshore Rigs are megastructures floating in the oceans, extracting Oil from under the sea-beds.",oil,4,"{""energy"": -44, ""oil"": 246}","{""lunarite"": 19400, ""titanium"": 16800, ""meteorite"": 760}"
metal,Miner,"Build a pickaxe for your miner.",metal,1,"{""metal"": 1}","{""metal"": 10, ""wood"": 5}"
metal,Heavy Drill,"Heavy Drills mine Metal at mass.",metal,2,"{""energy"": -2, ""metal"": 8}","{""metal"": 160, ""gem"": 60, ""oil"": 50}"
metal,Giga Drill,"Giga Drills extract Metal at colossal speeds.",metal,3,"{""energy"": -9, ""metal"": 108}","{""lunarite"": 2800, ""gem"": 3400, ""silicon"": 4100}"
metal,Quantum Drill,"Quantum Drills bend the space-time continuum to get metal faster than physically possible.",metal,4,"{""energy"": -24, ""metal"": 427}","{""lunarite"": 29000, ""gold"": 18700, ""meteorite"": 900}"
gem,Gem Miner,"Build an improved pickaxe to mine Gems.",gem,1,"{""gem"": 1}","{""metal"": 15, ""gem"": 10}"
gem,Advanced Drill,"Advanced Drills mine gem at mass. Because of the toughness of the drill needed it is slower than the heavy drill.",gem,2,"{""energy"": -2, ""gem"": 4}","{""metal"": 120, ""gem"": 200, ""oil"": 60}"
